piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,porcen_corregir,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
6000,35000,120,2,2,1,0.35,242.0,3950000,[1416358. 1297344.],1356851.0,[2533642. 2652656.],2593149.0,59507.0,0.0,[1897426. 1867122.],1882274.0,[2052574. 2082878.],2067726.0,15152.0,0.0,[2247828. 2405050.],2326439.0,[1702172. 1544950.],1623561.0,78611.0,0.0
6000,35000,120,2,2,2,1.0,242.0,3950000,[2322216. 3027920.],2675068.0,[1627784.  922080.],1274932.0,352852.0,0.0,[3975852. 3985916.],3980884.0,[-25852. -35916.],-30884.0,5032.0,1.0,[5573808. 6114568.],5844188.0,[-1623808. -2164568.],-1894188.0,270380.0,1.0
6000,35000,120,2,2,2,0.5,242.0,3950000,[1648312. 1677696.],1663004.0,[2301688. 2272304.],2286996.0,14692.0,0.0,[2387496. 2415164.],2401330.0,[1562504. 1534836.],1548670.0,13834.0,0.0,[2720012. 2998680.],2859346.0,[1229988.  951320.],1090654.0,139334.0,0.0
6000,35000,120,2,2,2,0.35,242.0,3950000,[1204860. 1275280.],1240070.0,[2745140. 2674720.],2709930.0,35210.0,0.0,[1778912. 2020796.],1899854.0,[2171088. 1929204.],2050146.0,120942.0,0.0,[2633996. 2548184.],2591090.0,[1316004. 1401816.],1358910.0,42906.0,0.0
6000,35000,120,2,3,1,1.0,242.0,3950000,[2749478. 3104738.],2927108.0,[1200522.  845262.],1022892.0,177630.0,0.0,[3930408. 4462710.],4196559.0,[  19592. -512710.],-246559.0,266151.0,0.5,[5784124. 4528656.],5156390.0,[-1834124.  -578656.],-1206390.0,627734.0,1.0
6000,35000,120,2,3,1,0.5,242.0,3950000,[1802954. 1873732.],1838343.0,[2147046. 2076268.],2111657.0,35389.0,0.0,[3001732. 2863216.],2932474.0,[ 948268. 1086784.],1017526.0,69258.0,0.0,[3899882. 4173086.],4036484.0,[  50118. -223086.],-86484.0,136602.0,0.5
6000,35000,120,2,3,1,0.35,242.0,3950000,[1569490. 1470684.],1520087.0,[2380510. 2479316.],2429913.0,49403.0,0.0,[2530844. 2564986.],2547915.0,[1419156. 1385014.],1402085.0,17071.0,0.0,[3394586. 3351442.],3373014.0,[555414. 598558.],576986.0,21572.0,0.0
6000,35000,120,2,3,2,1.0,242.0,3950000,[2748994. 3116802.],2932898.0,[1201006.  833198.],1017102.0,183904.0,0.0,[3985296. 4337134.],4161215.0,[ -35296. -387134.],-211215.0,175919.0,1.0,[5806644. 5458542.],5632593.0,[-1856644. -1508542.],-1682593.0,174051.0,1.0
6000,35000,120,2,3,2,0.5,242.0,3950000,[1886166. 2014350.],1950258.0,[2063834. 1935650.],1999742.0,64092.0,0.0,[3091652. 2826760.],2959206.0,[ 858348. 1123240.],990794.0,132446.0,0.0,[4028052. 4173414.],4100733.0,[ -78052. -223414.],-150733.0,72681.0,1.0
6000,35000,120,2,3,2,0.35,242.0,3950000,[1808542. 1751992.],1780267.0,[2141458. 2198008.],2169733.0,28275.0,0.0,[2622460. 2564522.],2593491.0,[1327540. 1385478.],1356509.0,28969.0,0.0,[3101510. 3318024.],3209767.0,[848490. 631976.],740233.0,108257.0,0.0
6000,40000,80,1,2,1,1.0,425.0,3950000,[4565975. 3414100.],3990037.5,[-615975.  535900.],-40037.5,575937.5,0.5,[6364525. 4890050.],5627287.5,[-2414525.  -940050.],-1677287.5,737237.5,1.0,[8429525. 7461775.],7945650.0,[-4479525. -3511775.],-3995650.0,483875.0,1.0
6000,40000,80,1,2,1,0.5,425.0,3950000,[2547375. 2254625.],2401000.0,[1402625. 1695375.],1549000.0,146375.0,0.0,[3705550. 3643400.],3674475.0,[244450. 306600.],275525.0,31075.0,0.0,[4498475. 4008275.],4253375.0,[-548475.  -58275.],-303375.0,245100.0,1.0
6000,40000,80,1,2,1,0.35,425.0,3950000,[1649850. 1249150.],1449500.0,[2300150. 2700850.],2500500.0,200350.0,0.0,[2428475. 2641500.],2534987.5,[1521525. 1308500.],1415012.5,106512.5,0.0,[2914300. 2954775.],2934537.5,[1035700.  995225.],1015462.5,20237.5,0.0
6000,40000,80,1,2,2,1.0,425.0,3950000,[4118050. 4809850.],4463950.0,[-168050. -859850.],-513950.0,345900.0,1.0,[6723500. 6308650.],6516075.0,[-2773500. -2358650.],-2566075.0,207425.0,1.0,[8836550. 9349350.],9092950.0,[-4886550. -5399350.],-5142950.0,256400.0,1.0
6000,40000,80,1,2,2,0.5,425.0,3950000,[2615550. 2161500.],2388525.0,[1334450. 1788500.],1561475.0,227025.0,0.0,[3061550. 3795950.],3428750.0,[888450. 154050.],521250.0,367200.0,0.0,[4425850. 4706000.],4565925.0,[-475850. -756000.],-615925.0,140075.0,1.0
6000,40000,80,1,2,2,0.35,425.0,3950000,[1312350. 1746650.],1529500.0,[2637650. 2203350.],2420500.0,217150.0,0.0,[2449950. 1986000.],2217975.0,[1500050. 1964000.],1732025.0,231975.0,0.0,[3552600. 3050400.],3301500.0,[397400. 899600.],648500.0,251100.0,0.0
